timestep,value
0,904.0
1,928.0
2,931.0
3,934.0
4,936.0
5,932.0
6,916.0
7,886.0
8,863.0
9,862.0
10,875.0
11,895.0
12,916.0
13,935.0
14,952.0
15,964.0
16,972.0
17,976.0
18,977.0
19,975.0
20,970.0
21,959.0
22,943.0
23,926.0
24,912.0
25,901.0
26,891.0
27,882.0
28,873.0
29,860.0
30,840.0
31,817.0
32,796.0
33,791.0
34,859.0
35,1040.0
36,1300.0
37,1531.0
38,1572.0
39,1413.0
40,1254.0
41,1160.0
42,1106.0
43,1073.0
44,1048.0
45,1023.0
46,992.0
47,964.0
48,942.0
49,925.0
50,913.0
51,904.0
52,898.0
53,893.0
54,887.0
55,880.0
56,875.0
57,875.0
58,878.0
59,878.0
60,871.0
61,857.0
62,842.0
63,831.0
64,826.0
65,827.0
66,830.0
67,835.0
68,843.0
69,860.0
70,891.0
71,928.0
72,956.0
73,961.0
74,940.0
75,911.0
76,906.0
77,931.0
78,954.0
79,957.0
80,944.0
81,941.0
82,957.0
83,967.0
84,960.0
85,949.0
86,949.0
87,958.0
88,956.0
89,944.0
90,932.0
91,924.0
92,921.0
93,924.0
94,930.0
95,938.0
96,944.0
97,946.0
98,941.0
99,930.0
