timestep,value
0,714.0
1,684.0
2,655.0
3,647.0
4,645.0
5,645.0
6,646.0
7,645.0
8,646.0
9,648.0
10,652.0
11,656.0
12,660.0
13,664.0
14,668.0
15,671.0
16,671.0
17,669.0
18,663.0
19,656.0
20,649.0
21,641.0
22,634.0
23,629.0
24,627.0
25,627.0
26,630.0
27,635.0
28,642.0
29,649.0
30,658.0
31,668.0
32,680.0
33,693.0
34,706.0
35,720.0
36,732.0
37,742.0
38,748.0
39,749.0
40,744.0
41,735.0
42,723.0
43,708.0
44,692.0
45,676.0
46,662.0
47,651.0
48,641.0
49,634.0
50,628.0
51,625.0
52,622.0
53,620.0
54,620.0
55,619.0
56,619.0
57,619.0
58,621.0
59,623.0
60,628.0
61,634.0
62,642.0
63,654.0
64,667.0
65,682.0
66,696.0
67,708.0
68,718.0
69,723.0
70,724.0
71,725.0
72,727.0
73,738.0
74,760.0
75,795.0
76,840.0
77,890.0
78,937.0
79,972.0
80,991.0
81,997.0
82,993.0
83,984.0
84,972.0
85,957.0
86,940.0
87,921.0
88,898.0
89,873.0
90,849.0
91,827.0
92,809.0
93,792.0
94,769.0
95,734.0
96,690.0
97,642.0
98,599.0
99,571.0
