timestep,value
0,1828.0
1,1830.0
2,1913.0
3,1902.0
4,1923.0
5,1909.0
6,1915.0
7,1946.0
8,1983.0
9,2023.0
10,2078.0
11,2136.0
12,2171.0
13,2186.0
14,2191.0
15,2176.0
16,2078.0
17,1881.0
18,1644.0
19,1454.0
20,1401.0
21,1421.0
22,1419.0
23,1396.0
24,1394.0
25,1424.0
26,1495.0
27,1567.0
28,1604.0
29,1592.0
30,1501.0
31,1366.0
32,1261.0
33,1208.0
34,1189.0
35,1186.0
36,1188.0
37,1185.0
38,1164.0
39,1131.0
40,1102.0
41,1078.0
42,1058.0
43,1059.0
44,1077.0
45,1107.0
46,1145.0
47,1176.0
48,1210.0
49,1246.0
50,1256.0
51,1232.0
52,1184.0
53,1119.0
54,1042.0
55,982.0
56,983.0
57,1049.0
58,1136.0
59,1194.0
60,1203.0
61,1166.0
62,1089.0
63,998.0
64,927.0
65,878.0
66,844.0
67,817.0
68,792.0
69,761.0
70,717.0
71,669.0
72,632.0
73,623.0
74,653.0
75,737.0
76,874.0
77,1016.0
78,1107.0
79,1144.0
80,1150.0
81,1148.0
82,1150.0
83,1153.0
84,1155.0
85,1150.0
86,1119.0
87,1037.0
88,946.0
89,881.0
90,836.0
91,802.0
92,780.0
93,769.0
94,767.0
95,768.0
96,771.0
97,775.0
98,778.0
99,782.0
