timestep,value
0,714.0
1,688.0
2,707.0
3,679.0
4,613.0
5,565.0
6,572.0
7,663.0
8,856.0
9,1143.0
10,1321.0
11,1275.0
12,1178.0
13,1105.0
14,1045.0
15,992.0
16,940.0
17,879.0
18,816.0
19,771.0
20,759.0
21,771.0
22,767.0
23,747.0
24,736.0
25,708.0
26,655.0
27,632.0
28,626.0
29,621.0
30,619.0
31,623.0
32,647.0
33,672.0
34,666.0
35,644.0
36,622.0
37,600.0
38,569.0
39,531.0
40,506.0
41,498.0
42,500.0
43,511.0
44,532.0
45,562.0
46,596.0
47,626.0
48,647.0
49,656.0
50,652.0
51,640.0
52,627.0
53,620.0
54,620.0
55,626.0
56,633.0
57,638.0
58,639.0
59,635.0
60,627.0
61,616.0
62,607.0
63,604.0
64,607.0
65,607.0
66,608.0
67,617.0
68,635.0
69,651.0
70,658.0
71,653.0
72,634.0
73,610.0
74,589.0
75,577.0
76,572.0
77,573.0
78,579.0
79,590.0
80,602.0
81,615.0
82,626.0
83,633.0
84,635.0
85,632.0
86,624.0
87,614.0
88,605.0
89,603.0
90,614.0
91,640.0
92,663.0
93,675.0
94,684.0
95,693.0
96,701.0
97,705.0
98,706.0
99,706.0
