timestep,value
0,1103.0
1,1164.0
2,1204.0
3,1215.0
4,1180.0
5,1130.0
6,1082.0
7,1046.0
8,1021.0
9,1005.0
10,994.0
11,987.0
12,990.0
13,1009.0
14,1021.0
15,1016.0
16,1007.0
17,1009.0
18,1031.0
19,1063.0
20,1091.0
21,1108.0
22,1117.0
23,1124.0
24,1140.0
25,1176.0
26,1233.0
27,1293.0
28,1336.0
29,1360.0
30,1367.0
31,1357.0
32,1316.0
33,1229.0
34,1096.0
35,938.0
36,800.0
37,718.0
38,680.0
39,664.0
40,656.0
41,646.0
42,640.0
43,657.0
44,707.0
45,782.0
46,890.0
47,1055.0
48,1267.0
49,1469.0
50,1595.0
51,1626.0
52,1597.0
53,1546.0
54,1492.0
55,1435.0
56,1374.0
57,1322.0
58,1295.0
59,1293.0
60,1305.0
61,1324.0
62,1343.0
63,1357.0
64,1369.0
65,1381.0
66,1394.0
67,1407.0
68,1419.0
69,1427.0
70,1430.0
71,1427.0
72,1415.0
73,1396.0
74,1373.0
75,1349.0
76,1327.0
77,1308.0
78,1291.0
79,1273.0
80,1256.0
81,1237.0
82,1219.0
83,1205.0
84,1206.0
85,1229.0
86,1269.0
87,1324.0
88,1380.0
89,1430.0
90,1477.0
91,1526.0
92,1579.0
93,1638.0
94,1695.0
95,1738.0
96,1753.0
97,1725.0
98,1662.0
99,1596.0
